,county,auto.cbp,auto.cbp.pct,NiCu.Mine.cbp,NiCu.Mine.cbp.pct,CoMn.Mine.cbp,CoMn.Mine.cbp.pct,NiCuCo.Prod.cbp,NiCuCo.Prod.cbp.pct,Li.Prod.cbp,Li.Prod.cbp.pct,Graphite.Prod.cbp,Graphite.Prod.cbp.pct
191,6067,1373.686114,0.001153759,0,0,0,0,0,0,0,0,0,0
192,6069,87.86939475,7.38E-05,0,0,0,0,0,0,0,0,0,0
193,6071,5132.575664,0.004310851,0,0,0,0,0,0,0,0,20.97293474,0.004585016
194,6073,3910.438095,0.003284377,0,0,0,0,0,0,0,0,20.97293474,0.004585016
195,6075,122.7896536,0.000103131,0,0,0,0,0,0,0,0,0,0
196,6077,488.4944146,0.000410287,0,0,0,0,0,0,0,0,0,0
197,6079,255.7625883,0.000214815,0,0,0,0,0,0,0,0,0,0
198,6081,321.8847758,0.000270351,0,0,0,0,0,0,0,0,0,0
199,6083,1812.577152,0.001522384,0,0,0,0,0,0,0,0,0,0
200,6085,528.6063724,0.000443977,0,0,0,0,0,0,0,0,10.93890628,0.002391418
201,6087,42.8507473,3.60E-05,0,0,0,0,0,0,0,0,0,0
202,6089,43.75562511,3.68E-05,0,0,0,0,0,0,0,0,0,0
203,6091,0,0,0,0,0,0,0,0,0,0,0,0
204,6093,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
205,6095,376.911841,0.000316568,0,0,0,0,0,0,0,0,0,0
206,6097,1233.358354,0.001035898,0,0,0,0,0,0,0,0,0,0
207,6099,614.1905579,0.000515859,0,0,0,0,0,0,0,0,0,0
208,6101,21.87781256,1.84E-05,0,0,0,0,0,0,0,0,0,0
209,6103,0,0,0,0,0,0,0,0,0,0,0,0
210,6105,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
211,6107,444.8167188,0.000373602,0,0,0,0,0,0,0,0,0,0
212,6109,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
213,6111,2086.331289,0.00175231,0,0,0,0,0,0,0,0,20.97293474,0.004585016
214,6113,334.808301,0.000281206,0,0,0,0,0,0,0,0,0,0
215,6115,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
216,8001,529.5778525,0.000444793,0,0,0,0,0,0,0,0,0,0
217,8003,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
218,8005,416.7355231,0.000350016,0,0,0,0,0,0,0,0,0,0
219,8007,0,0,0,0,0,0,0,0,0,0,0,0
220,8009,0,0,0,0,0,0,0,0,0,0,0,0
221,8011,0,0,0,0,0,0,0,0,0,0,0,0
222,8013,305.7355231,0.000256787,0,0,0,0,0,0,0,0,0,0
223,8014,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
224,8015,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
225,8017,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
226,8019,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
227,8021,0,0,0,0,0,0,0,0,0,0,20.97293474,0.004585016
228,8023,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,10.93890628,0.002391418
229,8025,0,0,0,0,0,0,0,0,0,0,0,0
230,8027,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
231,8029,21.87781256,1.84E-05,0,0,0,0,0,0,0,0,0,0
232,8031,625.7014946,0.000525527,0,0,0,0,0,0,0,0,0,0
233,8033,0,0,0,0,0,0,0,0,0,0,0,0
234,8035,88.77427257,7.46E-05,0,0,0,0,0,0,0,0,0,0
235,8037,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
236,8039,0,0,0,0,0,0,0,0,0,0,0,0
